uid,school_name,city,region,State,year
325,De Anza High School,Richmond,california,California,2022
326,Eisenhower High School,Yakima,washington,Washington,2022
339,Mott-Regent School,Hettinger County,north dakota,North Dakota,2022
329,Rippon Middle School,Woodbridge,virginia,Virginia,2022
337,Western High School,Las Vegas,nevada,Nevada,2022
333,West Philadelphia Achievement Charter Elementary School,Philadelphia,pennsylvania,Pennsylvania,2022
321,Tanglewood Middle,Greenville,south carolina,South Carolina,2022
332,Lowellville Junior/Senior High School,Lowellville,ohio,Ohio,2022
322,Erie High School,Erie,pennsylvania,Pennsylvania,2022
334,Pine Bluff High School,Pine Bluff,arkansas,Arkansas,2022
340,Edmund Burke School,Washington,district of columbia,District of Columbia,2022
338,Aspen Ridge Elementary School,West Ishpeming,michigan,Michigan,2022
344,Heights High School,Houston,texas,Texas,2022
343,Alexander W. Dreyfoos School of Arts,West Palm Beach,florida,Florida,2022
328,Walt Disney Magnet School,Chicago,illinois,Illinois,2022
342,Mexia High School,Mexia,texas,Texas,2022
327,Robb Elementary School,Uvalde,texas,Texas,2022
348,Ulysses S. Grant High School,Los Angeles,california,California,2022
347,Walnut Park Elementary,Gadsden,alabama,Alabama,2022
345,John Finney High School,Vallejo,california,California,2022
349,Madison Park Academy,Oakland,california,California,2022
350,Mergenthaler Vocational Technical High School,Baltimore,maryland,Maryland,2022
351,Treasure Cost Classical Academy,Stuart,florida,Florida,2022
352,Mankato West High School,Mankoto,minnesota,Minnesota,2022
353,Rudsdale High School,Oakland,california,California,2022
354,Jeremiah E. Burke High School,Dorchester,massachusetts,Massachusetts,2022
355,James Madison Academic Campus,Milwaukee,wisconsin,Wisconsin,2022
356,Central Visual and Performing Arts High School,St. Louis,missouri,Missouri,2022
357,Ingraham High School,Seattle,washington,Washington,2022
358,Ball Elementary School,Ball,louisiana,Louisiana,2022
359,South Vermillion High School,Clinton,indiana,Indiana,2022
360,Freedom Preparatory High School,Memphis,tennessee,Tennessee,2022
361,Suitland High School,Forestville,maryland,Maryland,2022
364,Fuquay-Varina Middle School,Fuquay-Varina,north carolina,North Carolina,2022
362,Cleveland High School,Portland,oregon,Oregon,2022
371,Benjamin Franklin High School,Rochester,new york,New York,2023
365,Beechcroft High School,Columbus,ohio,Ohio,2023
363,Richneck Elementary School,Newport News,virginia,Virginia,2023
